Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),Methanol based Ea (kJ/mol)
1.0398,Si/S,20.0,Null,0.0,2.211565695,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,2.284421122,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,1.987874348,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,40.25086196
1.4069,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,37.20255661
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,36.69496811
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,37.06532438
2.9602,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,39.23669999
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,200.0,30,3.0,7.783224016,19.96491304
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,220.0,30,3.0,7.783224016,19.96491304
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,240.0,30,3.0,7.783224016,19.96491304
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,25.08789179
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,25.08789179
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,25.08789179
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,25.08789179
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,25.25213774
0.09615,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,30.41303222
